Ticker,Description,Price,Change %,Change,Volume,Market Capitalization,Relative Volume at Time,"Change 1m, %","Change 5m, %",Exchange,Pre-market Change,Open,Change from Open
VBIV,"VBI Vaccines, Inc.",0.615,-4.2205264,-0.0271,845679,158828369,2.3434044,1.04065041,0.0483014,NASDAQ,-0.0201,0.6398,-0.0248
BDSX,"Biodesix, Inc.",1.93,-10.23255814,-0.22,307302,148935236,2.69154344,1.03626943,0.25706941,NASDAQ,,2.08,-0.15
AMV,"Atlis Motor Vehicles, Inc.",3.15,-4.54545455,-0.15,460071,127201375.35,0.66405341,0.99401045,1.53097175,NASDAQ,-0.1,3.27,-0.12
CVRX,"CVRx, Inc.",19.4,4.92157923,0.91,282857,399332730,2.26422503,0.98906819,1.14702815,NASDAQ,-0.05,18.41,0.99
PRCH,"Porch Group, Inc.",3.61,1.12044818,0.04,2669767,363001916,3.62479292,0.97902098,1.54711674,NASDAQ,-0.01,3.52,0.09
LAB,Standard BioTools Inc.,2.08,1.96078431,0.04,260712,164936604.99999997,2.14756213,0.96153846,1.44927536,NASDAQ,,1.98,0.1
CNET,ZW Data Action Technologies Inc.,2.1,18.63736512,0.3299,603270,15047623,2.10912769,0.95668477,0.96153846,NASDAQ,0.0299,1.77,0.33
GOVX,"GeoVax Labs, Inc.",0.935,1.63043478,0.015,754726,24623181,0.66255391,0.95176471,0.83313749,NASDAQ,-0.03,0.9169,0.0181
CONL,GraniteShares 1.5x Long Coinbase Daily ETF,12.95,-12.5590817,-1.86,649679,,1.99317338,0.9375,1.09546166,NASDAQ,-2.15,12.7,0.25
MNTS,Momentus Inc.,1.07,3.88349515,0.04,622147,90040204,2.53395678,0.93457944,0.92514718,NASDAQ,0.0485,1.04,0.03
VXRT,"Vaxart, Inc. - Common Stock",1.08,-1.81818182,-0.02,1933691,141749033,2.63322449,0.92592593,1.70756742,NASDAQ,0.03,1.1,-0.02
HYMC,Hycroft Mining Holding Corporation,0.566,-4.98573107,-0.0297,2951106,113070156,2.44355827,0.91743119,1.38248848,NASDAQ,-0.0151,0.58,-0.014
DHC,Diversified Healthcare Trust,0.745,2.56057269,0.0186,3239511,178579227,2.35937436,0.90749018,0.24219591,NASDAQ,0.0046,0.75,-0.005
CYXT,"Cyxtera Technologies, Inc.",2.83,2.90909091,0.08,779131,508317491,1.30004962,0.88809947,0.70921986,NASDAQ,-0.13,2.7,0.13
XFOR,"X4 Pharmaceuticals, Inc.",1.04,0,0,658543,126396471.00000001,2.29783329,0.87719298,0.97560976,NASDAQ,0.0001,1.05,-0.01
HLGN,"Heliogen, Inc.",0.6918,-0.71756602,-0.005,741679,132439777,1.63056787,0.8650519,0.74884793,NYSE,0.0031,0.7055,-0.0137
OP,OceanPal Inc.,1.17,4.46428571,0.05,456827,11915342,1.72136326,0.86206897,0.00854774,NASDAQ,-0.04,1.12,0.05
GETY,"Getty Images Holdings, Inc.",7.03,13.93841167,0.86,797355,2775241902.0000005,3.62393745,0.86083214,1.29682997,NYSE,,6.17,0.86
PALT,"Paltalk, Inc.",3.635,-4.34210526,-0.165,350438,33969287.00000001,0.69791223,0.83102493,2.24719101,NASDAQ,,3.78,-0.145
OTRK,"Ontrak, Inc.",1.06,3.92156863,0.04,551650,28917844,1.0009392,0.82762557,-0.00943396,NASDAQ,-0.01,1,0.06
XELA,"Exela Technologies, Inc.",0.0598,-6.99844479,-0.0045,161449196,7307627,1.10462147,0.82491582,-0.34941764,NASDAQ,-0.0027,0.0614,-0.0016
DTIL,"Precision BioSciences, Inc.",1.22,0.82644628,0.01,460439,135369927,1.59519982,0.80645161,0,NASDAQ,0.06,1.28,-0.06
GOEV,Canoo Inc.,1.25,3.30578512,0.04,13896332,445494346.99999994,1.12191568,0.80645161,1.33765707,NASDAQ,-0.03,1.19,0.06
KIND,"Nextdoor Holdings, Inc.",2.53,-8.33333333,-0.23,1787141,935547190.0000002,1.99637938,0.79681275,0.99800399,NYSE,-0.13,2.63,-0.1
CRDF,"Cardiff Oncology, Inc.",1.93,10.28571429,0.18,531037,86226934.99999999,5.45162857,0.7751938,0.25706941,NASDAQ,-0.02,1.72,0.21
ANY,Sphere 3D Corp.,0.414,1.54525386,0.0063,1854043,28403331.00000001,2.22083707,0.76960077,1.4527845,NASDAQ,-0.0176,0.4,0.014
CTXR,"Citius Pharmaceuticals, Inc.",1.36,0,0,679668,198847126,1.51832743,0.74074074,0,NASDAQ,0,1.362,-0.002
PONO,Pono Capital Corp,11.05,-29.84126984,-4.7,414969,167149758,,0.72595281,1.83486239,NASDAQ,-1.39,14.68,-3.63
GOSS,"Gossamer Bio, Inc.",2.78,-4.79452055,-0.14,4031070,262645519.99999997,2.49109125,0.72304759,0.9009009,NASDAQ,-0.06,2.85,-0.07
LIDR,"AEye, Inc.",0.8769,7.45006739,0.0608,954606,141232404,1.97167314,0.71696825,0.71696825,NASDAQ,0,0.8118,0.0651
GRND,Grindr Inc.,5.97,-4.0192926,-0.25,714265,1035940350.9999998,5.29402028,0.67681895,0.37619988,NYSE,-0.27,5.85,0.12
CDTX,"Cidara Therapeutics, Inc.",1.51,11.02941176,0.15,2961193,108143322.99999999,3.69002928,0.67567568,0.33670034,NASDAQ,0.05,1.4,0.11
ITI,"Iteris, Inc.",4.47,12.59445844,0.5,593538,191200940,,0.67264574,-0.22222222,NASDAQ,0.08,4.1,0.37
DCFC,Tritium DCFC Limited,1.5,1.35135135,0.02,2312050,233233292,1.57313087,0.66438494,2.04081633,NASDAQ,-0.03,1.47,0.03
EXAI,Exscientia Plc,9,2.15664018,0.19,436862,1105906311,1.40835441,0.66100728,0.16694491,NASDAQ,0.29,8.74,0.26
CLSD,"Clearside Biomedical, Inc.",1.51,1.34228188,0.02,411484,90888003,1.95821304,0.65131579,-0.00653595,NASDAQ,0.01,1.53,-0.02
CENN,Cenntro Electric Group Limited,0.8004,2.18307162,0.0171,4912808,209150695.00000003,1.52165162,0.65016254,0.22410359,NASDAQ,0.0052,0.7826,0.0178
FSTX,"F-star Therapeutics, Inc.",4.8,-2.04081633,-0.1,635856,105513221,1.89439388,0.63157895,0.63157895,NASDAQ,,4.85,-0.05
PBLA,"Panbela Therapeutics, Inc.",1.51,-4.43037975,-0.07,2580545,9562374,0.7098093,0.63141279,2,NASDAQ,-0.05,1.51,0
SATX,SatixFy Communications Ltd.,1.61,-4.16666667,-0.07,920090,129882996.99999999,1.29963982,0.62111801,1.26898794,NYSE ARCA,0.02,1.68,-0.07
INO,"Inovio Pharmaceuticals, Inc.",1.91,6.70391061,0.12,8763637,476524502.99999994,3.96382133,0.60783903,0.78740157,NASDAQ,0,1.79,0.12
ATHX,"Athersys, Inc.",1.7,6.25,0.1,524920,29577079.00000001,3.10302687,0.59171598,-1.1627907,NASDAQ,0.01,1.62,0.08
SES,SES AI Corporation,3.41,2.09580838,0.07,740691,1192904033,1.99963722,0.5899705,0.88757396,NYSE,-0.13,3.27,0.14
AMRS,"Amyris, Inc.",1.7,-2.85714286,-0.05,4234475,617936113.9999999,1.42732813,0.58823529,1.78571429,NASDAQ,-0.03,1.7,0
VLTA,"Volta, Inc.",0.8491,-0.71328344,-0.0061,2270370,147273761,2.45428261,0.57647059,0.58830451,NYSE,-0.0022,0.852,-0.0029
MBC,"MasterBrand, Inc.",9.76,0.41152263,0.04,1285762,1249477025.12,1.12131666,0.56671819,0.6185567,NYSE,,9.55,0.21
VORB,"Virgin Orbit Holdings, Inc.",1.78,1.71428571,0.03,1178252,599885413,4.29869404,0.56179775,0,NASDAQ,0.01,1.75,0.03
SESN,"Sesen Bio, Inc.",0.5902,0.40830214,0.0024,847338,119668392,1.45263728,0.55406313,0.65546218,NASDAQ,0.0222,0.6,-0.0098
MTTR,"Matterport, Inc.",3.66,-4.6875,-0.18,3754439,1052043390.0000002,2.17254067,0.55020633,0.55020633,NASDAQ,-0.1794,3.7,-0.04
SELB,"Selecta Biosciences, Inc.",1.84,-1.07526882,-0.02,858430,281577223.99999994,2.26223242,0.54644809,0.27247956,NASDAQ,0.04,1.92,-0.08
HLBZ,"Helbiz, Inc.",0.2426,1.84718724,0.0044,80756879,22631641,2.27016036,0.53897181,0.49688978,NASDAQ,0.0066,0.2375,0.0051
GROM,Grom Social Enterprises Inc.,1.89,-6.89655172,-0.14,1035447,1435260,0.61017601,0.52910053,0.52910053,NASDAQ,-0.12,1.89,0
INZY,"Inozyme Pharma, Inc.",2.86,16.73469388,0.41,340643,115527875,0.961026,0.52724077,0.70422535,NASDAQ,0.04,2.45,0.41
SPRO,"Spero Therapeutics, Inc.",1.9,3.82513661,0.07,398306,98374502,2.75951612,0.52631579,0.79155673,NASDAQ,-0.01,1.83,0.07
AGL,"agilon health, inc.",22.05,-2.47678019,-0.56,2249743,9081397295,1.66814581,0.52427627,0.4784689,NYSE,,22.23,-0.18
AEVA,"Aeva Technologies, Inc.",1.91,-4.5,-0.09,1208379,416820682.99999994,1.84327615,0.52356021,0.26109661,NYSE,0,1.99,-0.08
LLAP,Terran Orbital Corporation,1.94,-3.96039604,-0.08,530887,276219586.00000006,1.98819648,0.51813472,0,NYSE,0.05,2,-0.06
NAIL,Direxion Daily Homebuilders & Supplies Bull 3X Shares,48.65,-7.15648855,-3.75,527708,,3.03954346,0.51557022,0.68167734,NYSE ARCA,-2.44,48.51,0.14
SOND,Sonder Holdings Inc.,1.73,3.59281437,0.06,1328796,377241266,2.27340152,0.51127121,0.58139535,NASDAQ,-0.03,1.66,0.07
VERB,"Verb Technology Company, Inc.",0.1989,1.53139357,0.003,9192310,23105496,2.88792072,0.50276521,0.05005005,NASDAQ,0.0035,0.1951,0.0038
VIEW,"View, Inc.",0.9155,-1.47438657,-0.0137,622620,202788597,2.0037134,0.49756625,1.37479542,NASDAQ,-0.0292,0.93,-0.0145
BILL,"Bill.com Holdings, Inc.",94.51,-26.68528431,-34.4,21534948,9987026779,16.71259662,0.49449673,0.73016042,NYSE,-31.36,97.74,-3.23
BLND,"Blend Labs, Inc.",2.05,-0.96618357,-0.02,1855282,476846370,2.14764494,0.48780488,-0.48309179,NYSE,-0.04,1.98,0.07
ALDX,"Aldeyra Therapeutics, Inc.",6.18,-0.32258065,-0.02,266017,361901270,2.04193038,0.48780488,0.73349633,NASDAQ,0.39,6.12,0.06
RPTX,Repare Therapeutics Inc.,12.36,-5.93607306,-0.78,285651,518644293,4.83561026,0.48701299,0.48701299,NASDAQ,-0.75,12.23,0.13
GSUN,Golden Sun Education Group Limited,2.05,-9.2920354,-0.21,2255398,37628756,0.37331963,0.48543689,-0.9569378,NASDAQ,-0.16,2.13,-0.08
REAL,"The RealReal, Inc.",2.08,-7.96460177,-0.18,3904405,203976816.00000003,1.53910919,0.48309179,0.48309179,NASDAQ,-0.13,2.13,-0.05
WISH,ContextLogic Inc.,0.7484,-4.05128205,-0.0316,20213111,506666781.99999994,1.90432244,0.48127558,0.62750334,NASDAQ,-0.04,0.7524,-0.004
TMDX,"TransMedics Group, Inc.",69.36,2.19537351,1.49,297174,2214263990.9999995,1.40770963,0.47812228,0.10103926,NASDAQ,-0.37,66.4,2.96
PFMT,Performant Financial Corporation,3.15,-3.66972477,-0.12,280334,233977269.00000003,3.05646672,0.47770701,0.79872204,NASDAQ,,3.27,-0.12
ALKT,"Alkami Technology, Inc.",16.96,-2.47268545,-0.43,482365,1551466742,3.08869556,0.47365305,0.35481963,NASDAQ,,17.06,-0.1
TIL,"Instil Bio, Inc.",0.8902,-0.15702109,-0.0014,884441,115525797,1.58894459,0.47180409,0.47180409,NASDAQ,-0.0016,0.9,-0.0098
FUV,"Arcimoto, Inc.",2.15,0.46728972,0.01,489813,14261916,1.01332418,0.46948357,0.94339623,NASDAQ,-0.01,2.16,-0.01
SNCY,"Sun Country Airlines Holdings, Inc.",21.37,3.63724539,0.75,962772,1243021905.9999998,9.27385361,0.46920545,1.11095339,NASDAQ,0.98,21.12,0.25
SIGI,"Selective Insurance Group, Inc.",100.9,6.52449324,6.18,654828,6081765067,7.30203702,0.46715038,-0.03955696,NASDAQ,,94.62,6.28
LL,"LL Flooring Holdings, Inc.",6.54,-0.60790274,-0.04,542418,191634280.99999997,2.04648197,0.4601227,-0.07627765,NYSE,-0.08,6.45,0.09
HYFM,"Hydrofarm Holdings Group, Inc.",2.2,1.38248848,0.03,708435,99374945.99999999,2.29422367,0.456621,1.38248848,NASDAQ,-0.0895,2.12,0.08
ONDS,Ondas Holdings Inc.,2.21,1.37614679,0.03,293226,94775958,1.69098597,0.45248869,0.90909091,NASDAQ,-0.03,2.13,0.08
HOUS,Anywhere Real Estate Inc.,9.03,-3.93617021,-0.37,1871271,988605572.0000002,1.25692392,0.44493882,0.38910506,NYSE,0.34,9.14,-0.11
EMBK,"Embark Technology, Inc.",5.66,-1.90641248,-0.11,393922,132567812,1.71951457,0.44130627,1.06571936,NASDAQ,-0.17,5.6,0.06
XNCR,"Xencor, Inc.",36.49,3.84177575,1.35,607584,2186627410,2.99750617,0.44016506,0.08223684,NASDAQ,,34.9,1.59
KRON,"Kronos Bio, Inc.",2.27,-6.58436214,-0.16,383797,129159312.99999999,2.78878266,0.43859649,1.32743363,NASDAQ,,2.36,-0.09
AIRS,"AirSculpt Technologies, Inc.",7.03,4.92537313,0.33,353013,394892316,2.20165605,0.42796006,0.21352313,NASDAQ,,6.61,0.42
SGMO,"Sangamo Therapeutics, Inc.",3.51,-4.35967302,-0.16,1104840,575218816,1.65817312,0.42674253,0.42674253,NASDAQ,0,3.59,-0.08
PBTS,"Powerbridge Technologies Co., Ltd.",0.118,4.88888889,0.0055,27572121,24611113,1.18494796,0.42553191,0.85470085,NASDAQ,0.0054,0.116,0.002
CRK,"Comstock Resources, Inc.",11.9,-1.24481328,-0.15,28759257,2781716245,4.09040367,0.42194093,-0.29325513,NYSE,0.05,12.02,-0.12
EXPR,"Express, Inc.",1.18,-4.06504065,-0.05,3190800,80602210,1.78620748,0.42194093,0.84745763,NYSE,0,1.21,-0.03
MGOL,MGO Global Inc.,2.44,-8.27067669,-0.22,522318,,0.65456179,0.41735537,-0.8122449,NASDAQ,-0.16,2.52,-0.08
AFMD,Affimed N.V.,1.2,-6.25,-0.08,1314731,175133064,2.06222759,0.41493776,1.68067227,NASDAQ,0,1.28,-0.08
ZVSA,"ZyVersa Therapeutics, Inc.",2.43,3.84615385,0.09,434985,22069070,1.2595414,0.41322314,2.74841438,NASDAQ,-0.11,2.23,0.2
CDE,"Coeur Mining, Inc.",3.64,-6.66666667,-0.26,5577679,1022617750,3.40045979,0.41265475,0.41265475,NYSE,-0.1,3.8,-0.16
SIGA,SIGA Technologies Inc.,7.31,-5.55555556,-0.43,809183,533806510.99999994,2.60750815,0.41152263,0.0683527,NASDAQ,-0.09,7.67,-0.36
BAER,"Bridger Aerospace Group Holdings, Inc.",4.88,-17.14770798,-1.01,319268,213594144.99999997,3.02451421,0.41152263,-1.69218372,NASDAQ,0.09,5.77,-0.89
IOT,Samsara Inc.,14.71,-0.94276094,-0.14,1950576,7641834044.000001,3.93518244,0.40955631,0.30685305,NYSE,-0.45,14.24,0.47
NOG,"Northern Oil and Gas, Inc.",31.96,1.13924051,0.36,2316478,2488796173.0000005,1.36859586,0.40841973,0.09395553,NYSE,0.02,31.52,0.44
FAS,Direxion Financial Bull 3X Shares,88.65,-0.41563694,-0.37,1213503,,2.01502301,0.4071477,0.40703415,NYSE ARCA,-1.99,86.94,1.71
AKBA,"Akebia Therapeutics, Inc.",0.986,10.78651685,0.096,2840045,181386613,1.76663699,0.40567951,0.47701208,NASDAQ,-0.0501,0.85,0.136
WIMI,WiMi Hologram Cloud Inc.,1.64,-2.38095238,-0.04,1745658,142201187,1.94374606,0.40490798,-0.81212121,NASDAQ,-0.06,1.6,0.04
TMC,TMC the metals company Inc.,1.2,7.14285714,0.08,6551873,318639197,4.4873526,0.40160643,0.84033613,NASDAQ,0.1,1.24,-0.04
AVXL,Anavex Life Sciences Corp.,11.26,-0.96745822,-0.11,1073016,878641858,1.59289787,0.40053405,0.53475936,NASDAQ,,11.11,0.15
RAD,Rite Aid Corporation,3.76,-1.57068063,-0.06,2262463,212527808.99999997,1.63708286,0.39946738,0.66755674,NYSE,-0.1375,3.79,-0.03
HUBG,"Hub Group, Inc.",97.45,6.05071281,5.56,575940,3238202898,5.68368507,0.39651887,0.15411487,NASDAQ,,100.32,-2.87
TYDE,"Cryptyde, Inc.",0.2038,-6.03964961,-0.0131,7332172,7460117,1.55541503,0.39389463,-0.14691479,NASDAQ,-0.0008,0.2169,-0.0131
HLX,"Helix Energy Solutions Group, Inc.",7.71,1.04849279,0.08,1736371,1170540733,1.8917315,0.390625,0.65274151,NYSE,-0.03,7.63,0.08
NVST,Envista Holdings Corporation,41.21,-3.03529412,-1.29,2272234,6719084854,1.77164541,0.38957877,0.24313153,NYSE,,42.11,-0.9
OPEN,Opendoor Technologies Inc,2.59,-7.16845878,-0.2,27596069,1642584300.0000002,1.39437511,0.38834951,0.97261826,NASDAQ,-0.21,2.58,0.01
OCGN,"Ocugen, Inc.",1.29,-3.0075188,-0.04,4984034,282364075,1.70610838,0.3875969,1.96850394,NASDAQ,-0.02,1.29,0
MNKD,MannKind Corporation,5.18,-2.07939509,-0.11,2369967,1363353096,1.34265904,0.3868472,0.77669903,NASDAQ,-0.02,5.2,-0.02
BGRY,"Berkshire Grey, Inc.",1.295,-4.07407407,-0.055,534631,309565080.00000006,1.10656692,0.38610039,-0.76335878,NASDAQ,0,1.35,-0.055
URA,Global X Uranium ETF,22.16,-4.27645788,-0.99,4794856,,3.80731039,0.38418079,0.36150023,NYSE ARCA,-0.17,22.95,-0.79
LUMN,"Lumen Technologies, Inc.",5.26,-6.23885918,-0.35,43038010,5441905574.000001,3.86359559,0.38167939,0.19047619,NYSE,-0.15,5.45,-0.19
CUEN,"Cuentas, Inc.",1.335,-6.64335664,-0.095,388052,25751795,0.78187219,0.37453184,0.37453184,NASDAQ,-0.02,1.44,-0.105
API,"Agora, Inc.",4.02,-3.36538462,-0.14,678647,465799973,2.18837367,0.37453184,0.5,NASDAQ,-0.05,4.12,-0.1
VTS,Vitesse Energy Inc.,16.19,-0.61387354,-0.1,298669,,1.67585447,0.37197768,0.24767802,NYSE,0.36,16.49,-0.3
UP,Wheels Up Experience Inc.,1.36,-2.15827338,-0.03,1222961,336604071,1.90176047,0.37174721,0.74626866,NYSE,0.03,1.37,-0.01
PALI,"Palisade Bio, Inc.",2.73,-0.72727273,-0.02,1147539,10824963,0.88933596,0.37037037,0.37037037,NASDAQ,-0.02,2.72,0.01
AUVI,"Applied UV, Inc.",1.36,1.49253731,0.02,529321,17431378,0.07111624,0.36630037,0.72788766,NASDAQ,-0.04,1.35,0.01
GSAT,"Globalstar, Inc.",1.36,-4.22535211,-0.06,3242754,2449360026,1.55248871,0.36630037,0.36630037,NYSE ARCA,0.01,1.4,-0.04
EOSE,"Eos Energy Enterprises, Inc.",1.38,3.7593985,0.05,1230451,113970845.99999999,1.24111246,0.36363636,1.0989011,NASDAQ,-0.01,1.32,0.06
GMBL,Esports Entertainment Group Inc.,0.1124,2.55474453,0.0028,66822537,8765845,1.57158646,0.35714286,-0.88183422,NASDAQ,-0.0064,0.1032,0.0092
TWST,Twist Bioscience Corporation,25.31,-18.09061489,-5.59,3284830,1431746689.9999998,6.21633838,0.35685964,-0.5860357,NASDAQ,-5.1,25.65,-0.34
NNDM,Nano Dimension Ltd.,2.81,-0.35460993,-0.01,2604256,723330796,1.34260973,0.35587189,0.3594434,NASDAQ,-0.05,2.79,0.02
MAPS,"WM Technology, Inc.",1.4,-4.76190476,-0.07,512907,205014358.00000003,1.46109018,0.35587189,0.71428571,NASDAQ,-0.07,1.44,-0.04
AGRO,Adecoagro S.A.,8.5,-3.07867731,-0.27,443032,1001409362.9999998,1.23525332,0.35419126,0.41346722,NYSE,,8.76,-0.26
MATX,"Matson, Inc.",71.28,0.25316456,0.18,305885,2693007211,1.3299469,0.35201352,0.28141269,NYSE,,70.49,0.79
MRTN,"Marten Transport, Ltd.",22.95,0.04359198,0.01,477165,1861167809.9999995,3.87985539,0.34965035,0.26200873,NASDAQ,1.14,22.75,0.2
INBX,"Inhibrx, Inc.",25.8,2.8708134,0.72,377079,1123626657,2.18627782,0.34965035,0.76067876,NASDAQ,,24.53,1.27
MXCT,"MaxCyte, Inc.",5.77,-2.03735144,-0.12,504697,588809851,2.47817958,0.34782609,-0.17301038,NASDAQ,,5.81,-0.04
SRTS,"Sensus Healthcare, Inc.",8.83,-3.07354555,-0.28,315490,146684898,4.30202159,0.34129693,-0.22624434,NASDAQ,-0.21,8.99,-0.16
RBOT,Vicarious Surgical Inc.,2.95,-1.99335548,-0.06,365314,361049359.99999994,2.70336727,0.34013605,0.34013605,NYSE,-0.01,2.93,0.02
GTLB,GitLab Inc.,52.2,-10.87587502,-6.37,3775268,7814496555,3.94040661,0.33644141,0.10549535,NASDAQ,-4.57,54.15,-1.95
LX,LexinFintech Holdings Ltd.,3.67,-3.92670157,-0.15,553298,676707973,1.0194975,0.33560709,-0.05435817,NASDAQ,-0.05,3.77,-0.1
ANF,Abercrombie & Fitch Company,30.07,0.66956813,0.2,1504702,1473482407,2.06057267,0.3335557,0.40053405,NYSE,,29.43,0.64
VERI,"Veritone, Inc.",9.03,-5.83941606,-0.56,1903564,327695392,2.27227684,0.33333333,0.22086325,NASDAQ,-0.29,9.3,-0.27
NUTX,Nutex Health Inc.,1.5,16.27906977,0.21,2306223,974655121,5.8800718,0.33222591,0,NASDAQ,-0.01,1.28,0.22
MYPS,"PLAYSTUDIOS, Inc.",4.55,3.40909091,0.15,283243,590973379.0000001,1.63113996,0.32930845,0.43956044,NASDAQ,,4.35,0.2
TCRT,"Alaunos Therapeutics, Inc.",0.6934,-0.94285714,-0.0066,895047,166700832,2.71047693,0.3285245,0.28555111,NASDAQ,0.0246,0.7,-0.0066
BCYC,Bicycle Therapeutics plc,27.44,-3.55008787,-1.01,365222,814376162,2.71762222,0.32774945,-0.05441683,NASDAQ,,28.4,-0.96
PDSB,PDS Biotechnology Corporation,8.55,-2.28571429,-0.2,351023,243749288,1.0039104,0.32740879,0.70422535,NASDAQ,,8.55,0
DBGI,"Digital Brands Group, Inc.",3.05,2.00668896,0.06,1188422,6619986,1.98267348,0.32673267,-0.33114754,NASDAQ,-0.02,2.96,0.09
INSW,"International Seaways, Inc.",40.2,4.36137072,1.68,643762,1972952470,2.90348726,0.32443224,0.19940179,NYSE,,38.74,1.46
MNDY,monday.com Ltd.,140.81,-4.60673396,-6.8,882694,6348462120,3.74599657,0.32422418,0.0355265,NASDAQ,-5.61,140.28,0.53
ONEW,OneWater Marine Inc.,29.55,-3.36821452,-1.03,310684,464361722,2.66234563,0.32187024,0.95465394,NASDAQ,,29.02,0.53
GLYC,"GlycoMimetics, Inc.",3.09,1.98019802,0.06,380625,161989990,0.66330669,0.32142857,-0.32580645,NASDAQ,0.01,3.03,0.06
